0,2018-06-14,SR2018-06-0929,General Fund - New General Appropriations - Barangay Officials Death Benefit Fund,RA 10964 Special Purpose Fund 2018 Current,100000 10000 1000,MOOE,To cover the death benefit claims of Barangay Officials who died during their term of office,50214990-00,22000.00 ,0.00 ,0.00 ,Death Benefit Claims
0,2018-07-05,SR2018-07-1113,General Fund - New General Appropriations - Barangay Officials Death Benefit Fund,RA10964 Special Purpose Fund 2018 Current,100000100001000,MOOE,To Cover the Death Benefit Claims of Brangay Officials who Died during Their Team of Office,20214990-00,12000.00 ,0.00 ,0.00 ,Death Benefit Claims
0,2018-02-22,SR2018-02-0199,General Fund - New Genereal Appropriations - Local Government Support Fund,RA 10964 Special Purpose Fund 2018 Current,310100 20000 4000,MOOE,To cover the Salaries of Hired Personnel and Support to Operations for the Activities of OPDS Locally-funded Projects,50201010-00,8.00 ,0.00 ,0.00 ,Support for Local Governance Program (SPF-LGSF)
0,2018-02-22,SR2018-02-0199,General Fund - New Genereal Appropriations - Local Government Support Fund,RA 10964 Special Purpose Fund 2018 Current,310100 20000 4000,MOOE,To cover the Salaries of Hired Personnel and Support to Operations for the Activities of OPDS Locally-funded Projects,50205020-01,0.00 ,0.00 ,0.00 ,Support for Local Governance Program (SPF-LGSF)
0,2018-02-22,SR2018-02-0199,General Fund - New Genereal Appropriations - Local Government Support Fund,RA 10964 Special Purpose Fund 2018 Current,310100 20000 4000,MOOE,To cover the Salaries of Hired Personnel and Support to Operations for the Activities of OPDS Locally-funded Projects,50212990-99,442668.86 ,0.00 ,0.00 ,Support for Local Governance Program (SPF-LGSF)
0,2018-02-26,SR2018-02-0215,General Fund - New Genereal Appropriations - Local Government Support Fund,RA 10964 Special Purpose Fund 2018 Current, 310100 20000 4000,MOOE,To cover the Salaries of Hired Personnel and Support to Operations for the Activities of OPDS Locally-funded Projects 2nd Quarter,50201010-00,0.00 ,0.00 ,0.00 ,Support for Local Governance Program (SPF-LGSF)
0,2018-02-26,SR2018-02-0215,General Fund - New Genereal Appropriations - Local Government Support Fund,RA 10964 Special Purpose Fund 2018 Current, 310100 20000 4000,MOOE,To cover the Salaries of Hired Personnel and Support to Operations for the Activities of OPDS Locally-funded Projects 2nd Quarter,50202010-02,1841.30 ,0.00 ,0.00 ,Support for Local Governance Program (SPF-LGSF)
0,2018-02-26,SR2018-02-0215,General Fund - New Genereal Appropriations - Local Government Support Fund,RA 10964 Special Purpose Fund 2018 Current, 310100 20000 4000,MOOE,To cover the Salaries of Hired Personnel and Support to Operations for the Activities of OPDS Locally-funded Projects 2nd Quarter,50203010-02,0.00 ,0.00 ,0.00 ,Support for Local Governance Program (SPF-LGSF)
0,2018-02-26,SR2018-02-0215,General Fund - New Genereal Appropriations - Local Government Support Fund,RA 10964 Special Purpose Fund 2018 Current, 310100 20000 4000,MOOE,To cover the Salaries of Hired Personnel and Support to Operations for the Activities of OPDS Locally-funded Projects 2nd Quarter,50203090-00,0.00 ,0.00 ,0.00 ,Support for Local Governance Program (SPF-LGSF)
0,2018-02-26,SR2018-02-0215,General Fund - New Genereal Appropriations - Local Government Support Fund,RA 10964 Special Purpose Fund 2018 Current, 310100 20000 4000,MOOE,To cover the Salaries of Hired Personnel and Support to Operations for the Activities of OPDS Locally-funded Projects 2nd Quarter,50205020-01,0.00 ,0.00 ,0.00 ,Support for Local Governance Program (SPF-LGSF)
0,2018-02-26,SR2018-02-0215,General Fund - New Genereal Appropriations - Local Government Support Fund,RA 10964 Special Purpose Fund 2018 Current, 310100 20000 4000,MOOE,To cover the Salaries of Hired Personnel and Support to Operations for the Activities of OPDS Locally-funded Projects 2nd Quarter,50299050-07,56250.01 ,0.00 ,0.00 ,Support for Local Governance Program (SPF-LGSF)
0,2018-02-26,SR2018-02-0215,General Fund - New Genereal Appropriations - Local Government Support Fund,RA 10964 Special Purpose Fund 2018 Current, 310100 20000 4000,MOOE,To cover the Salaries of Hired Personnel and Support to Operations for the Activities of OPDS Locally-funded Projects 2nd Quarter,50212990-99,0.00 ,0.00 ,0.00 ,Support for Local Governance Program (SPF-LGSF)
0,2018-02-04,SR2018-04-0407,General Fund - New General Appropriations - Local Government Support Fund,RA 10964 Special Purpose Fund 2018 Current,310100 20000 4000,MOOE,"Conduct of Program Orientation on 2018 Salintubig and Iwash Governance for LGUs of Luzon,Visayas and Mindanao",50201010-00,0.00 ,0.00 ,0.00 ,Support for Local Governance Program (SPF-LGSF)
0,2018-04-18,SR2018-04-0515,General Fund - New General Appropriations - Local Government Support Fund,RA 10964 Special Purpose Fund 2018 Current,310100 20000 4000,MOOE,"Travelling expenses of PDMUs and MLGOOs for the conduct of Program Orientation cum seminar workshop, Iwash governance deamnd creation on sanitation enabling environment supply and services",50201010-00,0.00 ,0.00 ,0.00 ,Support for Local Governance Program (SPF-LGSF)
0,2018-07-17,SR2018-07-1200,General Fund - New General Appropriations - Local Government Support Fund,RA10964 Special Purpose Fund 2018 Current,3100100200004000 (LGSF),MOOE,For the Activities of the Conditional Matching Grant to Provinces (CMGP) Program in DILG Regional Offices and Provincial Offices,50212990-99,0.00 ,0.00 ,0.00 ,Support for Local Governance Program (SPF-LGSF)
0,2018-07-17,SR2018-07-1200,General Fund - New General Appropriations - Local Government Support Fund,RA10964 Special Purpose Fund 2018 Current,3100100200004000 (LGSF),MOOE,For the Activities of the Conditional Matching Grant to Provinces (CMGP) Program in DILG Regional Offices and Provincial Offices,50201010-00,0.00 ,0.00 ,0.00 ,Support for Local Governance Program (SPF-LGSF)
0,2018-07-17,SR2018-07-1200,General Fund - New General Appropriations - Local Government Support Fund,RA10964 Special Purpose Fund 2018 Current,3100100200004000 (LGSF),MOOE,For the Activities of the Conditional Matching Grant to Provinces (CMGP) Program in DILG Regional Offices and Provincial Offices,50202010-02,0.00 ,0.00 ,0.00 ,Support for Local Governance Program (SPF-LGSF)
0,2018-07-17,SR2018-07-1200,General Fund - New General Appropriations - Local Government Support Fund,RA10964 Special Purpose Fund 2018 Current,3100100200004000 (LGSF),MOOE,For the Activities of the Conditional Matching Grant to Provinces (CMGP) Program in DILG Regional Offices and Provincial Offices,50203010-02,0.00 ,0.00 ,0.00 ,Support for Local Governance Program (SPF-LGSF)
0,2018-07-17,SR2018-07-1200,General Fund - New General Appropriations - Local Government Support Fund,RA10964 Special Purpose Fund 2018 Current,3100100200004000 (LGSF),MOOE,For the Activities of the Conditional Matching Grant to Provinces (CMGP) Program in DILG Regional Offices and Provincial Offices,50203990-00,0.00 ,0.00 ,0.00 ,Support for Local Governance Program (SPF-LGSF)
0,2018-07-17,SR2018-07-1200,General Fund - New General Appropriations - Local Government Support Fund,RA10964 Special Purpose Fund 2018 Current,3100100200004000 (LGSF),MOOE,For the Activities of the Conditional Matching Grant to Provinces (CMGP) Program in DILG Regional Offices and Provincial Offices,50205020-01,0.00 ,0.00 ,0.00 ,Support for Local Governance Program (SPF-LGSF)
0,2018-07-17,SR2018-07-1200,General Fund - New General Appropriations - Local Government Support Fund,RA10964 Special Purpose Fund 2018 Current,3100100200004000 (LGSF),MOOE,For the Activities of the Conditional Matching Grant to Provinces (CMGP) Program in DILG Regional Offices and Provincial Offices,50203090-00,0.00 ,0.00 ,0.00 ,Support for Local Governance Program (SPF-LGSF)
0,2018-07-17,SR2018-07-1200,General Fund - New General Appropriations - Local Government Support Fund,RA10964 Special Purpose Fund 2018 Current,3100100200004000 (LGSF),MOOE,For the Activities of the Conditional Matching Grant to Provinces (CMGP) Program in DILG Regional Offices and Provincial Offices,50299050-04,0.00 ,0.00 ,0.00 ,Support for Local Governance Program (SPF-LGSF)
0,2018-07-17,SR2018-07-1200,General Fund - New General Appropriations - Local Government Support Fund,RA10964 Special Purpose Fund 2018 Current,3100100200004000 (LGSF),MOOE,For the Activities of the Conditional Matching Grant to Provinces (CMGP) Program in DILG Regional Offices and Provincial Offices,50299020-00,0.00 ,0.00 ,0.00 ,Support for Local Governance Program (SPF-LGSF)
0,2018-08-22,SR2018-08-1541,General Fund - New General Appropriations - Local Government Support Fund,RA10964 Special Purpose Fund 2018 Current,310100200004000 (LGSF),MOOE,For the Salaries of Existing Staff and Other Operational Expenses to Regional and Provincial Offices Under SALINTUBIG and AM Projects,50212990-99,0.00 ,0.00 ,0.00 ,Support for Local Governance Program (SPF-LGSF)
0,2018-08-22,SR2018-08-1541,General Fund - New General Appropriations - Local Government Support Fund,RA10964 Special Purpose Fund 2018 Current,310100200004000 (LGSF),MOOE,For the Salaries of Existing Staff and Other Operational Expenses to Regional and Provincial Offices Under SALINTUBIG and AM Projects,50201010-00,0.00 ,0.00 ,0.00 ,Support for Local Governance Program (SPF-LGSF)
0,2018-08-22,SR2018-08-1541,General Fund - New General Appropriations - Local Government Support Fund,RA10964 Special Purpose Fund 2018 Current,310100200004000 (LGSF),MOOE,For the Salaries of Existing Staff and Other Operational Expenses to Regional and Provincial Offices Under SALINTUBIG and AM Projects,50203010-02,0.00 ,0.00 ,0.00 ,Support for Local Governance Program (SPF-LGSF)
0,2018-08-22,SR2018-08-1541,General Fund - New General Appropriations - Local Government Support Fund,RA10964 Special Purpose Fund 2018 Current,310100200004000 (LGSF),MOOE,For the Salaries of Existing Staff and Other Operational Expenses to Regional and Provincial Offices Under SALINTUBIG and AM Projects,50202010-02,0.00 ,0.00 ,0.00 ,Support for Local Governance Program (SPF-LGSF)
0,2018-08-22,SR2018-08-1541,General Fund - New General Appropriations - Local Government Support Fund,RA10964 Special Purpose Fund 2018 Current,310100200004000 (LGSF),MOOE,For the Salaries of Existing Staff and Other Operational Expenses to Regional and Provincial Offices Under SALINTUBIG and AM Projects,50205020-01,0.00 ,0.00 ,0.00 ,Support for Local Governance Program (SPF-LGSF)
0,2018-08-22,SR2018-08-1541,General Fund - New General Appropriations - Local Government Support Fund,RA10964 Special Purpose Fund 2018 Current,310100200004000 (LGSF),MOOE,For the Salaries of Existing Staff and Other Operational Expenses to Regional and Provincial Offices Under SALINTUBIG and AM Projects,50205030-00,0.00 ,0.00 ,0.00 ,Support for Local Governance Program (SPF-LGSF)
0,2018-08-24,SR2018-08-1570,General Fund - New General Appropriations - Local Government Support Fund,RA10964 Special Purpose Fund 2018 Current,310100200004000 (LGSF),MOOE,Fo the Conduct of Various Acitivies Relative to Knowledge Forum 2018,50201010-00,0.00 ,0.00 ,0.00 ,Support for Local Governance Program (SPF-LGSF)
0,2018-08-24,SR2018-08-1570,General Fund - New General Appropriations - Local Government Support Fund,RA10964 Special Purpose Fund 2018 Current,310100200004000 (LGSF),MOOE,Fo the Conduct of Various Acitivies Relative to Knowledge Forum 2018,50202010-02,8105.00 ,0.00 ,0.00 ,Support for Local Governance Program (SPF-LGSF)
0,2018-09-11,SR2018-09-1743,General Fund - New General Appropriations - Specific Budgets of NGAs,RA10964 Regular 2018 Current,310100200004000,MOOE, For the Regional Offices Activities of OPDS-Locally Funded Projects and Conduct of Roll-Out of Subaybayan ,50202010-02,1537.00 ,0.00 ,0.00 ,Support for Local Governance Program (SPF-LGSF)
0,2018-09-11,SR2018-09-1743,General Fund - New General Appropriations - Specific Budgets of NGAs,RA10964 Regular 2018 Current,310100200004000,MOOE, For the Regional Offices Activities of OPDS-Locally Funded Projects and Conduct of Roll-Out of Subaybayan ,50299020-00,3.75 ,0.00 ,0.00 ,Support for Local Governance Program (SPF-LGSF)
0,2018-09-13,SR2018-09-1802,General Fund - New General Appropriations - Specific Budgets of NGAs,RA10964 Regular 2018 Current,310100200004000 (LGSF),MOOE, For the Conduct of Regional Offices Activities on the OPDS Locally Funded Projects and Conduct of Roll-Out of Subaybayan ,50201010-00,0.00 ,0.00 ,0.00 ,Support for Local Governance Program (SPF-LGSF)
0,2018-09-13,SR2018-09-1802,General Fund - New General Appropriations - Specific Budgets of NGAs,RA10964 Regular 2018 Current,310100200004000 (LGSF),MOOE, For the Conduct of Regional Offices Activities on the OPDS Locally Funded Projects and Conduct of Roll-Out of Subaybayan ,50202010-02,0.00 ,0.00 ,0.00 ,Support for Local Governance Program (SPF-LGSF)
